Date,Time,IonicID,Ticker,Type,Shares,Price,Broker,Stamp,Total,NonCash,Note
8/3/2022,00:00,,,Credit,,,,,892.32,,"Employer Contribution"
9/3/2022,00:00,,,Interest,,,,,1.44,,""
9/3/2022,00:00,,,Interest,,,,,5.43,,""
3/4/2022,00:00,,,Charges,,,,,6.5,,""
7/4/2022,00:00,,,Credit,,,,,892.32,,"Employer Contribution"
9/4/2022,00:00,,,Credit,,,,,2.62,,""
9/4/2022,00:00,,,Interest,,,,,6.44,,""
5/5/2022,00:00,,,Charges,,,,,3.85,,""
9/5/2022,00:00,,,Credit,,,,,2.91,,""
9/5/2022,00:00,,,Credit,,,,,6.24,,""
10/5/2022,00:00,,,Credit,,,,,892.32,,""
7/6/2022,00:00,,,Charges,,,,,11.13,,""
9/6/2022,00:00,,,Credit,,,,,1.8,,""
9/6/2022,00:00,,,Credit,,,,,6.44,,""
15/6/2022,00:00,,,Credit,,,,,892.32,,""
3/7/2022,00:00,,,Charges,,,,,11.16,,""
1/4/2021,14:12,535,INS,Buy,234,6.4,11.95,0,,,""
4/11/2021,12:07,535,INS,Buy,181,8.25,11.95,0,,,""
1/3/2022,10:45,535,INS,Sell,415,6.72125301205,11.95,0,,,""
25/4/2022,09:16,719,IBPO,Buy,1774,4.19550169109,11.95,0,,,""
13/5/2022,09:56,719,IBPO,Sell,443,3.9005,11.95,0,,,""
27/5/2022,11:47,719,IBPO,Sell,443,3.745,11.95,0,,,""
4/5/2021,11:27,1840,BREE,Buy,1457,1.0291214825,11.95,0,,,""
10/9/2021,00:00,1840,BREE,Dividend,1457,0.00500343170899,,,,,""
4/1/2022,08:01,1840,BREE,Sell,1457,0.96479752917,11.95,0,,,""
3/5/2022,11:23,2105,WOOD,Buy,296,25.3878716216,11.95,0,,,""
16/5/2022,09:51,2105,WOOD,Sell,222,24.3548,11.95,0,,,""
23/5/2022,08:00,2105,WOOD,Sell,74,23.9946,11.95,0,,,""
25/5/2022,00:00,2105,WOOD,Dividend,296,0.469898648649,,,,,""
8/8/2017,00:00,2219,NXR,Buy,560,1.78310714286,11.95,5,,,""
12/1/2018,00:00,2219,NXR,Dividend,58,0.251034482759,,,,,""
2/8/2018,00:00,2219,NXR,Dividend,286,0.101818181818,,,,,""
14/8/2018,10:00,2219,NXR,Sell,560,2.1518,11.95,0,,,""
9/7/2019,14:27,2219,NXR,Buy,454,2.19839207048,11.95,4.99,,,""
10/1/2020,19:55,2219,NXR,Dividend,454,0.0309911894273,,,,,""
14/7/2020,14:11,2219,NXR,Sell,454,1.565,11.95,0,,,""
12/5/2020,14:16,2273,FXPO,Buy,1079,1.38990732159,11.95,7.5,,,""
